order_id;order_date;product_name;category;price_unit;quantity;discount_pct;store_city;store_region;sales_channel;returned;customer_segment;profit_margin_pct;shipping_cost
ORD00000;2025-03-08;Carregador;Eletrônicos;109,8;1;0;Belo Horizonte;Sudeste;E-commerce;Não;VIP;12,97;7,99
ORD00001;2024-08-15;Fone de Ouvido;Eletrônicos;228,35;1;0;Belém;Norte;E-commerce;Não;Comum;11,25;23,12
ORD00002;2024-07-12;Chuteira;Esportes;279,13;1;0;Brasília;Centro-Oeste;E-commerce;Não;Comum;12,11;14,77
ORD00003;2025-04-16;Panela;Casa;80,14;1;15;Recife;Nordeste;Loja Física;Não;Comum;19,47;15,15
ORD00004;2024-10-17;Maquiagem;Beleza;43,31;2;5;Belém;Norte;E-commerce;Não;Comum;22,27;30,5
ORD00005;2024-10-06;Chuteira;Esportes;123,19;1;10;Fortaleza;Nordeste;E-commerce;Não;Comum;18,95;16,14
ORD00006;2024-09-27;Calça Jeans;Moda;100,0;3;15;Salvador;Nordeste;Loja Física;Não;VIP;29,17;17,08
ORD00007;2024-08-26;Tênis;Moda;168,29;1;0;Recife;Nordeste;E-commerce;Não;Comum;28,36;22,31
ORD00008;2025-04-15;Tênis;Moda;152,48;1;5;Porto Velho;Norte;E-commerce;Não;Comum;29,25;20,93
ORD00009;2024-08-11;Calça Jeans;Moda;100,0;1;0;Salvador;Nordeste;Loja Física;Não;Comum;30,0;14,63
ORD00010;2025-03-22;Raquete;Esportes;181,21;1;0;Salvador;Nordeste;Loja Física;Não;Comum;20,0;18,0
ORD00011;2025-04-16;Calça Jeans;Moda;128,27;1;5;Porto Velho;Norte;Loja Física;Não;Comum;27,64;29,9
ORD00012;2025-06-14;Camiseta;Moda;82,37;1;0;Belém;Norte;E-commerce;Não;VIP;26,34;30,4
ORD00013;2025-01-30;Panela;Casa;30,0;1;0;Manaus;Norte;Loja Física;Não;Comum;20,0;23,7
ORD00014;2024-08-05;Smartphone;Eletrônicos;1368,6;2;0;Belo Horizonte;Sudeste;Loja Física;Não;Comum;12,43;5,98
ORD00015;2025-02-17;Tênis;Moda;158,94;3;15;Brasília;Centro-Oeste;Loja Física;Não;Comum;26,92;9,94
ORD00016;2024-12-13;Carregador;Eletrônicos;49,83;1;0;Fortaleza;Nordeste;Loja Física;Não;Empresa;15,0;16,96
ORD00017;2024-07-15;Bicicleta;Esportes;500,0;1;0;Belo Horizonte;Sudeste;E-commerce;Não;VIP;19,12;12,71
ORD00018;2024-07-14;Shampoo;Beleza;37,7;1;0;Curitiba;Sul;E-commerce;Não;VIP;19,98;11,92
ORD00019;2024-08-08;Chuteira;Esportes;127,23;1;10;Curitiba;Sul;Loja Física;Não;Comum;20,0;7,19
ORD00020;2024-09-25;Jaqueta;Moda;675,53;1;10;Porto Velho;Norte;E-commerce;Não;Comum;25,25;21,48
ORD00021;2024-10-01;Bicicleta;Esportes;1163,01;1;0;Brasília;Centro-Oeste;Loja Física;Sim;Comum;17,54;15,87
ORD00022;2025-01-15;Smartphone;Eletrônicos;1211,21;1;0;Belo Horizonte;Sudeste;E-commerce;Não;Comum;13,8;5,32
ORD00023;2025-02-21;Calça Jeans;Moda;241,72;1;5;Fortaleza;Nordeste;E-commerce;Não;Comum;24,99;16,56
ORD00024;2024-07-13;Calça Jeans;Moda;222,8;1;0;Goiânia;Centro-Oeste;Loja Física;Não;Comum;27,86;11,04
ORD00025;2025-02-05;Notebook;Eletrônicos;2304,22;1;0;São Paulo;Sudeste;Loja Física;Não;Comum;12,87;8,57
ORD00026;2024-09-18;Toalha;Casa;39,67;1;0;Porto Alegre;Sul;Loja Física;Não;VIP;19,57;8,96
ORD00027;2025-04-07;Chuteira;Esportes;274,57;1;0;São Paulo;Sudeste;Loja Física;Sim;VIP;14,27;7,14
ORD00028;2025-03-12;Calça Jeans;Moda;155,02;1;0;Porto Alegre;Sul;Loja Física;Não;Comum;27,61;9,05
ORD00029;2025-04-01;Sofá;Casa;944,35;1;0;Recife;Nordeste;E-commerce;Não;Comum;20,0;28,12
ORD00030;2025-01-30;Cadeira;Casa;512,32;1;15;Curitiba;Sul;Loja Física;Não;VIP;14,33;12,46
ORD00031;2024-12-12;Notebook;Eletrônicos;2000,0;1;10;Belo Horizonte;Sudeste;Loja Física;Não;Comum;14,16;5,81
ORD00032;2024-09-26;Tênis;Moda;214,04;1;15;Belo Horizonte;Sudeste;E-commerce;Não;Comum;28,77;5,93
ORD00033;2024-12-24;Raquete;Esportes;288,41;1;0;Manaus;Norte;Loja Física;Não;Empresa;19,94;30,79
ORD00034;2025-02-16;Jaqueta;Moda;284,0;1;0;Salvador;Nordeste;Loja Física;Não;Empresa;27,42;17,84
ORD00035;2024-10-19;Fone de Ouvido;Eletrônicos;207,72;1;0;Rio de Janeiro;Sudeste;Loja Física;Sim;Comum;14,17;9,3
ORD00036;2025-05-13;Camiseta;Moda;54,74;4;0;Salvador;Nordeste;E-commerce;Não;VIP;28,3;15,28
ORD00037;2025-06-05;Suplemento;Esportes;80,05;1;0;Manaus;Norte;Loja Física;Não;VIP;17,28;26,75
ORD00038;2024-07-05;Perfume;Beleza;136,91;2;0;São Paulo;Sudeste;Loja Física;Não;Comum;23,07;8,52
ORD00039;2025-04-23;Perfume;Beleza;181,64;1;10;Belém;Norte;E-commerce;Não;VIP;21,42;39,44
ORD00040;2025-05-11;Notebook;Eletrônicos;2000,0;1;0;Rio de Janeiro;Sudeste;E-commerce;Não;Comum;14,14;5,18
ORD00041;2024-09-03;Panela;Casa;53,88;1;10;Manaus;Norte;Loja Física;Não;Comum;19,55;30,05
ORD00042;2025-03-31;Maquiagem;Beleza;49,59;1;0;Porto Velho;Norte;E-commerce;Não;VIP;21,11;29,79
ORD00043;2024-12-14;Notebook;Eletrônicos;2000,0;1;0;Salvador;Nordeste;Loja Física;Não;VIP;15,0;15,53
ORD00044;2024-11-12;Suplemento;Esportes;159,4;3;15;Curitiba;Sul;E-commerce;Não;Comum;14,57;10,37
ORD00045;2024-10-18;Creme Facial;Beleza;79,52;3;5;Cuiabá;Centro-Oeste;E-commerce;Não;Comum;21,09;12,24
ORD00046;2024-09-01;Notebook;Eletrônicos;2000,0;1;10;Brasília;Centro-Oeste;E-commerce;Não;VIP;13,36;13,76
ORD00047;2024-09-24;Calça Jeans;Moda;443,74;1;0;Belo Horizonte;Sudeste;E-commerce;Não;Comum;18,97;5,93
ORD00048;2025-04-25;Bicicleta;Esportes;706,12;1;0;Cuiabá;Centro-Oeste;Loja Física;Não;Empresa;20,0;15,12
ORD00049;2024-11-10;Tênis;Moda;121,34;1;5;Belém;Norte;E-commerce;Não;Comum;29,59;24,53
ORD00050;2024-08-11;Bicicleta;Esportes;500,0;1;0;Rio de Janeiro;Sudeste;Loja Física;Sim;Comum;20,0;11,93
ORD00051;2024-08-08;Chuteira;Esportes;179,37;1;10;Porto Alegre;Sul;E-commerce;Não;Comum;19,1;6,83
ORD00052;2024-11-27;Carregador;Eletrônicos;65,81;1;0;Fortaleza;Nordeste;Loja Física;Não;Comum;15,0;23,47
ORD00053;2024-08-09;Panela;Casa;46,48;2;0;Cuiabá;Centro-Oeste;Loja Física;Não;VIP;18,42;12,45
ORD00054;2024-11-19;Shampoo;Beleza;36,27;1;0;Salvador;Nordeste;Loja Física;Não;Comum;22,07;15,52
ORD00055;2025-05-28;Jaqueta;Moda;775,55;2;20;Belém;Norte;E-commerce;Não;Comum;21,42;37,94
ORD00056;2024-11-13;Suplemento;Esportes;102,51;3;5;Salvador;Nordeste;Loja Física;Não;Comum;17,26;16,87
